,제목,가격,강사,URL,카테고리,리뷰
252,2019 겜팔이의 노릇노릇 파이어베이스,무료,겜팔이,https://edu.goorm.io/lecture/13306/2019-겜팔이의-노릇노릇-파이어베이스,프로그래밍 - 모바일 프로그래밍,[]
253,완벽 파이썬 크롤링 A to Z 풀패키지 부트캠프,"₩99,000",잔재미코딩(Dave Lee),https://edu.goorm.io/lecture/13243/완벽-파이썬-크롤링-a-to-z-풀패키지-부트캠프,프로그래밍 - 데이터 추출/분석,['너무 친절하고 상세하게 잘 알려주십니다.']
254,초보자를 위한 jQuery UI Pattern 제대로 배우기,"₩106,000",아이티고,https://edu.goorm.io/lecture/13256/초보자를-위한-jquery-ui-pattern-제대로-배우기,웹 프로그래밍 - 프로그래밍,[]
255,xlsxwriter 튜토리얼로 배우는 Python 엑셀 프로그래밍,"₩55,000",제주코딩베이스캠프,https://edu.goorm.io/lecture/13038/xlsxwriter-튜토리얼로-배우는-python-엑셀-프로그래밍,프로그래밍 - 데이터 추출/분석,[]
256,생활코딩 - WEB2: Python,무료,생활코딩,https://edu.goorm.io/lecture/13091/생활코딩-web2-python,웹 프로그래밍 - 프로그래밍,['입문자가 이해하기 쉽게 잘 설명해주십니다.']
257,생활코딩 - WEB3: PHP & MySQL,무료,생활코딩,https://edu.goorm.io/lecture/13086/생활코딩-web3-php-and-mysql,웹 프로그래밍 - 프로그래밍,['아주유용']
258,생활코딩 - WEB2: Node.js - MySQL,무료,생활코딩,https://edu.goorm.io/lecture/13087/생활코딩-web2-node-js-mysql,웹 프로그래밍 - 프로그래밍,['좋은 강의 감사합니다.']
259,생활코딩 - WEB2: Home Server,무료,생활코딩,https://edu.goorm.io/lecture/13090/생활코딩-web2-home-server,웹 프로그래밍 - 프로그래밍,[]
260,생활코딩 - WEB2: DNS & HTTP,무료,생활코딩,https://edu.goorm.io/lecture/13089/생활코딩-web2-dns-and-http,웹 프로그래밍 - 프로그래밍,['good']
261,생활코딩 - Source Tree로 Git 활용하기,무료,생활코딩,https://edu.goorm.io/lecture/13062/생활코딩-source-tree로-git-활용하기,프로그래밍 - 개발 도구,[]
